,step,action
0,0.0,0.0
1,0.0,18.23154640197754
2,1.0,18.23154640197754
3,1.0,15.702323913574219
4,2.0,15.702323913574219
5,2.0,9.664144515991211
6,3.0,9.664144515991211
7,3.0,0.495658814907074
8,4.0,0.495658814907074
9,4.0,-1.8339300155639648
10,5.0,-1.8339300155639648
11,5.0,-1.5083268880844116
12,6.0,-1.5083268880844116
13,6.0,-1.9459457397460938
14,7.0,-1.9459457397460938
15,7.0,-1.5495065450668335
16,8.0,-1.5495065450668335
17,8.0,-1.67764151096344
18,9.0,-1.67764151096344
19,9.0,-1.118720293045044
20,10.0,-1.118720293045044
21,10.0,0.0
