,step,action
0,0.0,0.0
1,0.0,19.90879528338018
2,1.0,19.90879528338018
3,1.0,19.07650340726366
4,2.0,19.07650340726366
5,2.0,10.884827003087938
6,3.0,10.884827003087938
7,3.0,-1.2737333451941613
8,4.0,-1.2737333451941613
9,4.0,-3.7104682793022814
10,5.0,-3.7104682793022814
11,5.0,-1.756896375131829
12,6.0,-1.756896375131829
13,6.0,-1.8161628322658219
14,7.0,-1.8161628322658219
15,7.0,-2.561651453654168
16,8.0,-2.561651453654168
17,8.0,-3.799183723493682
18,9.0,-3.799183723493682
19,9.0,-2.874263656776046
20,10.0,-2.874263656776046
21,10.0,0.0
