,step,action
0,0.0,0.0
1,0.0,5.288748264312744
2,1.0,5.288748264312744
3,1.0,1.828837513923645
4,2.0,1.828837513923645
5,2.0,2.1795504093170166
6,3.0,2.1795504093170166
7,3.0,1.1716299057006836
8,4.0,1.1716299057006836
9,4.0,1.978074550628662
10,5.0,1.978074550628662
11,5.0,1.9397059679031372
12,6.0,1.9397059679031372
13,6.0,1.4692026376724243
14,7.0,1.4692026376724243
15,7.0,2.4779248237609863
16,8.0,2.4779248237609863
17,8.0,0.752572238445282
18,9.0,0.752572238445282
19,9.0,2.0742347240448
20,10.0,2.0742347240448
21,10.0,0.0
