,step,action
0,0.0,0.0
1,0.0,6.4124579429626465
2,1.0,6.4124579429626465
3,1.0,6.537686347961426
4,2.0,6.537686347961426
5,2.0,5.319808006286621
6,3.0,5.319808006286621
7,3.0,4.891704559326172
8,4.0,4.891704559326172
9,4.0,3.728097438812256
10,5.0,3.728097438812256
11,5.0,3.081197738647461
12,6.0,3.081197738647461
13,6.0,2.831535577774048
14,7.0,2.831535577774048
15,7.0,2.480346918106079
16,8.0,2.480346918106079
17,8.0,2.1783840656280518
18,9.0,2.1783840656280518
19,9.0,1.7608990669250488
20,10.0,1.7608990669250488
21,10.0,0.0
