,0
1,3.304051401770784
2,3.3255464784802746
3,3.337257850530379
4,3.4065356078625135
5,3.4747180416100933
6,3.5060330928889316
7,3.486832218717793
8,3.560760848056529
9,3.601245415793808
10,3.539452848893454
11,3.5362357860269933
12,3.5837098156043203
13,3.5778189604070896
14,3.538949250570023
15,3.5714810359992364
16,3.547413899572598
17,3.50026935714657
18,3.5617476967042294
19,3.5037815823018787
20,3.490553415370184
21,3.4098054518619376
22,3.3726982634100873
23,3.3381467172466137
24,3.298072493518626
25,3.263855073977126
26,3.222818924677694
27,3.2475384232174145
28,3.2147724445489367
29,3.172989996758106
30,3.1720671432786074
31,3.1306676935484425
32,3.126552038158011
33,3.1244937457970408
34,3.0914087766904994
35,3.0902932977388096
36,3.0978307072074704
37,3.0790231307005604
38,3.0486027927929245
39,3.042906330391169
40,3.038673215035675
41,3.0469791988105888
42,3.0077027028577996
43,2.9814280298829456
44,3.004716278846122
45,2.9925723537774154
46,2.951615370433493
47,2.9733526868018036
48,2.9408217739403595
49,2.9428027874256806
50,2.952372305313148
51,2.889416785729697
52,2.9059061113468667
53,2.8906673057993824
54,2.873345147148567
55,2.8673574166911058
56,2.890702306864205
57,2.8481429354593644
58,2.8622250294851104
59,2.8550942800755106
60,2.8775754249431147
61,2.8833944896693553
62,2.8544490695495437
63,2.81839882486232
64,2.8367663847906748
65,2.812848231499736
66,2.8010904935750083
67,2.7800570931166217
68,2.7688160375089734
69,2.7464267980047286
70,2.723106231138904
71,2.7149157126591708
72,2.6575045263988057
73,2.674301560793417
74,2.68466116991146
75,2.7277381035093637
76,2.807162865898034
77,2.905249191324557
78,2.9512413834245796
79,3.0824309830060246
80,3.028946202930945
81,2.9480489131161525
82,2.9231778716705668
83,2.8241851817638532
84,2.8057143684246557
85,2.781685262207568
86,2.7050951241605103
87,2.6830392575432898
88,2.6208603054690593
89,2.570982936648882
90,2.5778969743547973
91,2.531242990499087
92,2.4995940325178534
93,2.5523318473464434
94,2.5569803286632213
95,2.5550661382043836
96,2.572002003417377
97,2.6580615163141075
98,2.664642271344104
99,2.6213091491794334
100,2.596309899726827
101,2.513841234981382
102,2.3366725136370077
103,2.1931740555048926
104,2.1790351375228107
105,2.229885604138021
106,2.3026278114901726
107,2.335935538718232
108,2.3477678320822024
109,2.3095878298936583
110,2.3068132024068873
111,2.1986703337830393
112,2.1296601420151613
113,2.1028340393103835
114,2.084112736417285
115,2.0346501801368397
116,2.0199315995357043
117,2.0148165064078323
118,1.9959713197932074
119,2.0072332510191035
120,1.9854197595511178
121,2.0334854466850714
122,2.0187033381793076
123,2.034655510742269
124,2.041445602718253
125,2.0492071811485433
126,2.073056821388591
127,2.0175399321609095
128,1.9810348382242253
129,1.9839855433981026
130,2.0071042486228308
131,2.0053840006265298
132,2.020656542047599
133,2.0704802520451695
134,2.1821517619350255
135,2.24097407986807
136,2.1822719667966695
137,2.0011194528155976
138,1.9851015570870487
139,2.015142564741974
140,2.065850968271222
141,2.3001554819368484
142,2.376078018443484
143,2.79063740685515
144,3.5013346499567155
145,3.1641135705774426
146,2.929781215844321
147,3.251809385814158
148,3.6326465918963513
149,3.8367125245735734
150,3.7854484774101884
151,3.3324073459198376
152,3.458710552367717
153,3.7328168326589806
154,3.956277959807109
155,4.024928833682429
156,3.8589542109495456
157,3.9870853901802747
158,3.849334125669158
159,3.4529428555712096
160,2.9908952480504007
161,2.8966318120132155
162,2.6614050411165957
163,2.4215471089263714
164,2.252694491808426
165,2.1474826463397205
166,2.112065147417259
167,2.051787282525786
168,2.1433920243554825
169,2.0297332407410815
170,2.0155953218946907
171,1.994450970303968
172,2.0018766243388457
173,2.013890227876904
174,2.0061945117008118
175,2.0310966500915564
176,2.0630386615874796
177,2.059578456251642
178,2.0207736936131813
179,2.050537296210344
180,2.0712337330932833
181,2.10084894698815
182,2.0550675851872784
183,2.046454511885262
184,2.045836926502858
185,2.0450862392501437
186,2.070521893191222
187,2.0631289453306656
188,2.055741331361066
189,2.034896096375072
190,2.051217559820569
191,2.063946794630122
192,2.0055230892740767
193,2.094087901465805
194,2.038038966026742
195,2.0240913020841
196,2.0920093289136097
197,2.0900482099263296
198,2.104735911756675
199,2.1444641920185457
200,2.164008597310665
