,step,action
0,0.0,0.0
1,0.0,12.249900817871094
2,1.0,12.249900817871094
3,1.0,13.10988998413086
4,2.0,13.10988998413086
5,2.0,8.511758804321289
6,3.0,8.511758804321289
7,3.0,0.6601520776748657
8,4.0,0.6601520776748657
9,4.0,-5.450805187225342
10,5.0,-5.450805187225342
11,5.0,-4.579170227050781
12,6.0,-4.579170227050781
13,6.0,-5.400196552276611
14,7.0,-5.400196552276611
15,7.0,-5.016143798828125
16,8.0,-5.016143798828125
17,8.0,-5.192991256713867
18,9.0,-5.192991256713867
19,9.0,-5.314693450927734
20,10.0,-5.314693450927734
21,10.0,0.0
