,step,action
0,0.0,0.0
1,0.0,19.952416238698845
2,1.0,19.952416238698845
3,1.0,18.751101817721555
4,2.0,18.751101817721555
5,2.0,13.100657219239249
6,3.0,13.100657219239249
7,3.0,3.9206715690420024
8,4.0,3.9206715690420024
9,4.0,-1.7312033603368038
10,5.0,-1.7312033603368038
11,5.0,-4.621620825901194
12,6.0,-4.621620825901194
13,6.0,-6.286856394225215
14,7.0,-6.286856394225215
15,7.0,-6.892762347487862
16,8.0,-6.892762347487862
17,8.0,-7.612899442195111
18,9.0,-7.612899442195111
19,9.0,-7.1308871800477425
20,10.0,-7.1308871800477425
21,10.0,0.0
