,step,action
0,0.0,0.0
1,0.0,4.848440647125244
2,1.0,4.848440647125244
3,1.0,4.663771629333496
4,2.0,4.663771629333496
5,2.0,4.632174015045166
6,3.0,4.632174015045166
7,3.0,4.8159894943237305
8,4.0,4.8159894943237305
9,4.0,4.7285308837890625
10,5.0,4.7285308837890625
11,5.0,4.910611152648926
12,6.0,4.910611152648926
13,6.0,4.573879241943359
14,7.0,4.573879241943359
15,7.0,4.219100475311279
16,8.0,4.219100475311279
17,8.0,4.829623222351074
18,9.0,4.829623222351074
19,9.0,4.517444610595703
20,10.0,4.517444610595703
21,10.0,0.0
