,step,action
0,0.0,0.0
1,0.0,14.936325073242188
2,1.0,14.936325073242188
3,1.0,13.456277847290039
4,2.0,13.456277847290039
5,2.0,13.013069152832031
6,3.0,13.013069152832031
7,3.0,3.6086134910583496
8,4.0,3.6086134910583496
9,4.0,-7.2066779136657715
10,5.0,-7.2066779136657715
11,5.0,-7.299154758453369
12,6.0,-7.299154758453369
13,6.0,-7.936315536499023
14,7.0,-7.936315536499023
15,7.0,-8.087528228759766
16,8.0,-8.087528228759766
17,8.0,-8.541826248168945
18,9.0,-8.541826248168945
19,9.0,-9.211018562316895
20,10.0,-9.211018562316895
21,10.0,0.0
