,step,action
0,0.0,0.0
1,0.0,18.241748809814453
2,1.0,18.241748809814453
3,1.0,15.288579940795898
4,2.0,15.288579940795898
5,2.0,14.743613243103027
6,3.0,14.743613243103027
7,3.0,2.832044839859009
8,4.0,2.832044839859009
9,4.0,-10.839128494262695
10,5.0,-10.839128494262695
11,5.0,-11.460084915161133
12,6.0,-11.460084915161133
13,6.0,-12.190826416015625
14,7.0,-12.190826416015625
15,7.0,-11.825104713439941
16,8.0,-11.825104713439941
17,8.0,-12.869420051574707
18,9.0,-12.869420051574707
19,9.0,-12.594476699829102
20,10.0,-12.594476699829102
21,10.0,0.0
