,0
1,55.19288486883079
2,50.7759176692476
3,46.84723859442017
4,44.783358937906165
5,42.30841057500838
6,39.98966479633147
7,38.145206328517844
8,36.54837978025533
9,35.880503562182525
10,33.91784595109887
11,33.2321685076886
12,31.840250894030845
13,30.579920958743465
14,30.075562715886704
15,29.278454032222427
16,28.571397570535908
17,27.861404813111232
18,26.810151293593755
19,26.30632587691575
20,25.57457538677142
21,24.85416720693323
22,24.660756800353
23,23.892202319934544
24,23.189827502017728
25,22.935332576343953
26,22.02258604070903
27,21.651991870871427
28,20.69447303955035
29,20.347309030436705
30,19.602649350937178
31,18.784975429970558
32,18.791908765469625
33,17.890842275849803
34,17.6134867721682
35,17.101591892092188
36,16.801062874159122
37,16.33274623981901
38,16.220683609751866
39,16.1707688363152
40,16.082497821477176
41,16.081010630724403
42,15.917657693193451
43,15.857984704472031
44,15.92287433815953
45,16.018115726704725
46,15.987857535731866
47,15.944577869780758
48,15.87393525761193
49,15.760921713811408
50,15.87531327599589
51,15.761966949753429
52,15.695133747462684
53,15.745730435418524
54,15.683601398788223
55,15.555518788662404
56,15.497365917504673
57,15.659104832451671
58,15.499376445878383
59,15.363769614983232
60,15.124757898751323
61,15.206231947788437
62,15.143732844406951
63,15.08942215711749
64,14.980382653466894
65,14.959582295209145
66,15.025816460411558
67,14.83797942827525
68,14.958650111841429
69,14.95242854988624
70,14.740754889359545
71,14.6414157753075
72,14.802258154850783
73,14.733309898977843
74,14.844455351836222
75,14.631755727820124
76,14.544836246781246
77,14.564971800016902
78,14.324923478015197
79,14.546828161547229
80,14.42160267779394
81,14.241244327723816
82,14.259168675859257
83,14.254868247334974
84,13.994646263142293
85,14.056274798087916
86,13.956471191982324
87,14.03484473068304
88,13.911976080181597
89,13.782226225743408
90,13.840552002568824
91,13.78108281604639
92,13.941642121001275
93,13.758210451429562
94,13.68390209570192
95,13.617801294524838
96,13.325543342637044
97,13.405829710236834
98,13.31922336100916
99,13.221341334547851
100,13.295215249145706
101,13.333618479934959
102,13.208336882552047
103,13.134508509117095
104,13.097572545253161
105,13.036090903771488
106,13.15067158570633
107,12.9465555546547
108,12.937037284307983
109,12.795687501952429
110,12.685863154189317
111,12.697430167624079
112,12.637586977689226
113,12.461641482853118
114,12.396026306099923
115,12.336230772996448
116,12.32806950535549
117,12.190707906544741
118,12.161319659290738
119,11.996231210160108
120,12.12386572008622
121,12.044125104458367
122,11.815663901556269
123,11.698832292844122
124,11.896640952482688
125,11.70291123020272
126,11.771865899596762
127,11.501864156259389
128,11.337066585428657
129,11.4025916578826
130,11.389001323948989
131,11.250573695915635
132,11.04951841742103
133,11.068942386371862
134,11.006661792766447
135,11.036141699236332
136,10.941465190928803
137,10.772125097316492
138,10.816992248165821
139,10.603698590463615
140,10.737573758375241
141,10.568940623707775
142,10.6150119851517
143,10.497126002233047
144,10.528584690024054
145,10.380631543621359
146,10.502764981544102
147,10.251810412711187
148,10.265107080121835
149,10.08638756220159
150,9.980960569800885
151,9.9960619247897
152,10.032606234756898
153,9.924251882821647
154,9.958748322423345
155,9.847334656150839
156,9.837288363446412
157,9.728673470498471
158,9.683508285383255
159,9.596236139671827
160,9.625781526141072
161,9.527004138477793
162,9.389306415023828
163,9.39599180598875
164,9.257750255366494
165,9.300308135496572
166,9.25666749814351
167,9.265775415617153
168,9.209369611383952
169,9.091228050095808
170,9.123954589562885
171,9.044182297426953
172,8.933437460322924
173,8.941181966660857
174,8.996063490274867
175,8.891874193058424
176,8.833228759342514
177,8.787558574165859
178,8.90734104714199
179,8.826271675703953
180,8.701148376460214
181,8.647110355250891
182,8.518698367643402
183,8.406743703784198
184,8.447005680284047
185,8.37464975004228
186,8.399185328965178
187,8.271776244659662
188,8.31116167179781
189,8.260238603653196
190,8.07809344202878
191,8.068866362134813
192,8.030211041506654
193,7.971886693856414
194,7.836998784712568
195,7.849555538658629
196,7.767510938923937
197,7.630326381118932
198,7.685143220030627
199,7.51131397406501
200,7.50425253227778
201,7.520801280037501
202,7.425176680730132
203,7.373806771973564
204,7.289527402865657
205,7.299722053096767
206,7.221264665049152
207,7.303117318065792
208,7.306488750866626
209,7.331133759920361
210,7.15526631861511
211,7.117599421203392
212,7.081239144436938
213,7.020341972733499
214,6.91757779370413
215,6.890073773081948
216,6.868660281153229
217,6.729280350130364
218,6.647606020881149
219,6.498761744774066
220,6.433395116508308
221,6.354581210215825
222,6.220342031978137
223,6.1638989588401145
224,6.023131012870048
225,5.905837305162677
226,5.837225316019515
227,5.796917191312468
228,5.6189895373096626
229,5.573884433218231
230,5.501141232790687
231,5.502734081133289
232,5.390119067862619
233,5.303236878096925
234,5.21329637233039
235,5.208231962662495
236,5.144198887909855
237,5.201001452984336
238,5.25021065418059
239,5.2865396591329255
240,5.31261700303095
241,5.284032254078303
242,5.411883689151601
243,5.314642057588634
244,5.257905964729813
245,5.14755390198806
246,5.118958363487627
247,5.009139878037617
248,4.916888547923563
249,4.782701837435413
250,4.761705205971106
251,4.645577495167687
252,4.546310229431789
253,4.489311181825489
254,4.383722571108568
255,4.358886199497647
256,4.3080762667328205
257,4.286656067147751
258,4.297371609887666
259,4.136683358741699
260,4.1601891119610155
261,4.04966430329215
262,4.039691974687737
263,4.039522521705473
264,3.970365817736152
265,3.9515942297477764
266,3.9948857169255483
267,3.9333997090874817
268,3.8872409349213797
269,3.8859473425330497
270,3.862338849319384
271,3.8341261199223187
272,3.789029341126804
273,3.812256708057195
274,3.819007308120992
275,3.7321792406516425
276,3.7542264174277076
277,3.7684806836038693
278,3.7074987870229776
279,3.708101066841522
280,3.656066578304566
281,3.7176162832327666
282,3.628043081677835
283,3.6126718341022737
284,3.6483648483899467
285,3.5835313171306455
286,3.5830559058372513
287,3.591952040982618
288,3.5793140967632455
289,3.518403267547814
290,3.5896152884774604
291,3.6092605530132125
292,3.556453548922203
293,3.6164245663912027
294,3.634085781043193
295,3.585544795179316
296,3.5573012068704877
297,3.5379287191194893
298,3.430390096625756
299,3.4056625087941423
300,3.409125992050996
301,3.43295745941922
302,3.3936031546038166
303,3.3597819380196166
304,3.282997423359106
305,3.4596557691874006
306,3.35003224131526
307,3.2714963891367734
308,3.2572232900427047
309,3.24892927197826
310,3.219916031977328
311,3.1808821537227443
312,3.173872213993832
313,3.1237211201774304
