,step,action
0,0.0,0.0
1,0.0,11.811885833740234
2,1.0,11.811885833740234
3,1.0,8.952709197998047
4,2.0,8.952709197998047
5,2.0,5.402369976043701
6,3.0,5.402369976043701
7,3.0,5.825175762176514
8,4.0,5.825175762176514
9,4.0,3.8281359672546387
10,5.0,3.8281359672546387
11,5.0,3.7566847801208496
12,6.0,3.7566847801208496
13,6.0,1.8658230304718018
14,7.0,1.8658230304718018
15,7.0,1.1987913846969604
16,8.0,1.1987913846969604
17,8.0,1.6469112634658813
18,9.0,1.6469112634658813
19,9.0,0.9542385339736938
20,10.0,0.9542385339736938
21,10.0,0.0
