,step,action
0,0.0,0.0
1,0.0,20.311783673487515
2,1.0,20.311783673487515
3,1.0,17.473718109156554
4,2.0,17.473718109156554
5,2.0,14.436568706472192
6,3.0,14.436568706472192
7,3.0,3.7684384708843743
8,4.0,3.7684384708843743
9,4.0,-2.9870342250801807
10,5.0,-2.9870342250801807
11,5.0,-7.796096727429158
12,6.0,-7.796096727429158
13,6.0,-5.913048039358193
14,7.0,-5.913048039358193
15,7.0,-6.490628344692784
16,8.0,-6.490628344692784
17,8.0,-6.489787697343954
18,9.0,-6.489787697343954
19,9.0,-7.048448641000116
20,10.0,-7.048448641000116
21,10.0,0.0
