,step,action
0,0.0,0.0
1,0.0,18.37565463633676
2,1.0,18.37565463633676
3,1.0,17.65770485050457
4,2.0,17.65770485050457
5,2.0,7.853720784031606
6,3.0,7.853720784031606
7,3.0,-0.26127311234877215
8,4.0,-0.26127311234877215
9,4.0,-0.5981587577108494
10,5.0,-0.5981587577108494
11,5.0,-1.7442586341561128
12,6.0,-1.7442586341561128
13,6.0,0.04154637677325601
14,7.0,0.04154637677325601
15,7.0,-1.7011844212327087
16,8.0,-1.7011844212327087
17,8.0,-0.39638188704785193
18,9.0,-0.39638188704785193
19,9.0,-0.61028962795878
20,10.0,-0.61028962795878
21,10.0,0.0
