,step,action
0,0.0,0.0
1,0.0,27.672991333120407
2,1.0,27.672991333120407
3,1.0,25.433334854677415
4,2.0,25.433334854677415
5,2.0,15.85298723046563
6,3.0,15.85298723046563
7,3.0,0.7906572995601469
8,4.0,0.7906572995601469
9,4.0,-9.934405078815976
10,5.0,-9.934405078815976
11,5.0,-11.971915375383453
12,6.0,-11.971915375383453
13,6.0,-10.636244915750733
14,7.0,-10.636244915750733
15,7.0,-11.980259508382803
16,8.0,-11.980259508382803
17,8.0,-13.466339945617346
18,9.0,-13.466339945617346
19,9.0,-11.894364283750473
20,10.0,-11.894364283750473
21,10.0,0.0
