,step,action
0,0.0,0.0
1,0.0,10.807517051696777
2,1.0,10.807517051696777
3,1.0,10.185430526733398
4,2.0,10.185430526733398
5,2.0,7.2141008377075195
6,3.0,7.2141008377075195
7,3.0,5.246392250061035
8,4.0,5.246392250061035
9,4.0,3.47066330909729
10,5.0,3.47066330909729
11,5.0,2.6036269664764404
12,6.0,2.6036269664764404
13,6.0,2.944088935852051
14,7.0,2.944088935852051
15,7.0,2.365936756134033
16,8.0,2.365936756134033
17,8.0,1.9678748846054077
18,9.0,1.9678748846054077
19,9.0,1.9867312908172607
20,10.0,1.9867312908172607
21,10.0,0.0
