,step,action
0,0.0,0.0
1,0.0,31.068585993075878
2,1.0,31.068585993075878
3,1.0,25.761054264868754
4,2.0,25.761054264868754
5,2.0,10.82884056753084
6,3.0,10.82884056753084
7,3.0,-2.0559727402256223
8,4.0,-2.0559727402256223
9,4.0,-7.25529461836707
10,5.0,-7.25529461836707
11,5.0,-3.8840376085230943
12,6.0,-3.8840376085230943
13,6.0,-5.913533590964688
14,7.0,-5.913533590964688
15,7.0,-6.438730474870722
16,8.0,-6.438730474870722
17,8.0,-5.259950014172183
18,9.0,-5.259950014172183
19,9.0,-5.9777050387968655
20,10.0,-5.9777050387968655
21,10.0,0.0
