,step,action
0,0.0,0.0
1,0.0,8.139269828796387
2,1.0,8.139269828796387
3,1.0,5.617198467254639
4,2.0,5.617198467254639
5,2.0,5.816078186035156
6,3.0,5.816078186035156
7,3.0,5.43320894241333
8,4.0,5.43320894241333
9,4.0,5.497154712677002
10,5.0,5.497154712677002
11,5.0,4.964993953704834
12,6.0,4.964993953704834
13,6.0,5.552294731140137
14,7.0,5.552294731140137
15,7.0,5.586001873016357
16,8.0,5.586001873016357
17,8.0,4.823346138000488
18,9.0,4.823346138000488
19,9.0,4.790298938751221
20,10.0,4.790298938751221
21,10.0,0.0
