,step,action
0,0.0,0.0
1,0.0,-14.963981628417969
2,1.0,-14.963981628417969
3,1.0,-14.552980422973633
4,2.0,-14.552980422973633
5,2.0,-15.44362735748291
6,3.0,-15.44362735748291
7,3.0,-15.941764831542969
8,4.0,-15.941764831542969
9,4.0,-16.49537467956543
10,5.0,-16.49537467956543
11,5.0,-15.57987117767334
12,6.0,-15.57987117767334
13,6.0,-15.04248332977295
14,7.0,-15.04248332977295
15,7.0,-16.454235076904297
16,8.0,-16.454235076904297
17,8.0,-16.849979400634766
18,9.0,-16.849979400634766
19,9.0,-16.05068016052246
20,10.0,-16.05068016052246
21,10.0,0.0
