,step,action
0,0.0,0.0
1,0.0,28.002620243805723
2,1.0,28.002620243805723
3,1.0,28.012400085528572
4,2.0,28.012400085528572
5,2.0,11.914489169371633
6,3.0,11.914489169371633
7,3.0,-0.5562074001673656
8,4.0,-0.5562074001673656
9,4.0,-6.102253955667003
10,5.0,-6.102253955667003
11,5.0,-6.900347604394574
12,6.0,-6.900347604394574
13,6.0,-4.8040233542939355
14,7.0,-4.8040233542939355
15,7.0,-6.5940593538007
16,8.0,-6.5940593538007
17,8.0,-4.5465929762629305
18,9.0,-4.5465929762629305
19,9.0,-8.477988630040677
20,10.0,-8.477988630040677
21,10.0,0.0
