,0
1,3.5049907433238126
2,3.3127287142646535
3,3.4491323495325057
4,3.611846702353939
5,3.932330240162691
6,4.038876870653157
7,4.058541644197088
8,3.9764201245538104
9,3.7424436235157423
10,3.5290167949605085
11,3.410390105390282
12,3.3103919660065317
13,3.3029237525019775
14,3.3174485503090287
15,3.2780168117355517
16,3.421773307306433
17,3.5014982866874
18,3.4685720647492304
19,3.381128633587372
20,3.254929547579175
21,3.2594289789073856
22,3.429899073362802
23,3.5113776913030095
24,3.825901717256946
25,4.081514973688992
26,4.526067789569826
27,4.15602654010497
28,4.044563190796271
29,3.7891779576382176
30,3.6532465761202615
31,3.485434324498358
32,3.3294118292295884
33,3.2767304683469853
34,3.2202888100266818
35,3.1571236742093456
36,3.0814253216068317
37,3.005273323552678
38,2.9800747488919876
39,2.93161459890831
40,2.909767450966336
41,2.8450540017659143
42,2.818313724544614
43,2.7755576294059177
44,2.7362393754968584
45,2.763666169173273
46,2.6872985864879997
47,2.743354315462728
48,2.939981143777627
49,3.6987680682305366
50,4.542215510231328
51,5.098756493175377
52,5.630226688450199
53,6.556961316156423
54,6.456990835643355
55,6.3319822764950775
56,6.097143689651726
57,5.952074273669682
58,5.467711402197799
59,5.04170969786581
60,4.55028945326079
61,4.165208341238509
62,3.7576301875506615
63,3.5178577339949038
64,3.392061843482506
65,3.3153232192366175
66,3.315830525837085
67,3.3483126785392523
68,3.4160776660313372
69,3.4965968462014465
70,3.5868650899649124
71,3.7019785364052735
72,3.7413254415298853
73,3.8190043820778903
74,3.8262099214746677
75,3.8801216611289226
76,3.8495009061797534
77,3.838457881500213
78,3.697858369844197
79,3.57732962956678
80,3.4656099550672756
81,3.396965441533157
82,3.383363545095552
83,3.303052071289197
84,3.3309600547241978
85,3.2957059226374987
86,3.349650762161532
87,3.3638392918855784
88,3.357879762957051
89,3.3733173454494194
90,3.412276613656124
91,3.3718484642866278
92,3.4259161614436424
93,3.4255273222753098
94,3.425231559491563
95,3.445458760140448
96,3.4788555630976044
97,3.449992535203659
98,3.443096509928767
99,3.394504799449881
100,3.3573046399294393
101,3.3461379845804755
102,3.3385733827166435
103,3.2948501014453533
104,3.3228708834672043
105,3.2769609521974474
106,3.309380329852039
107,3.2794046229442
108,3.3397549733418272
109,3.339227735255748
110,3.367505768643447
111,3.418000186936864
112,3.3974688282897803
113,3.3689540810991083
114,3.3512466089602055
115,3.3350459677518325
116,3.294586561741638
117,3.3392094734452535
118,3.30159444806871
119,3.320251629702799
120,3.269476584436661
121,3.2819737877141018
122,3.262755168608929
123,3.2872583766722228
124,3.2511653992051266
125,3.294408464455107
126,3.270065578871111
127,3.2810873513542673
128,3.2442747343414142
129,3.277200382101712
130,3.2630317033875373
131,3.241386936519264
132,3.3048364502874135
133,3.283697019145893
134,3.3129866335443126
135,3.304050920335965
136,3.291983384989127
137,3.305018040538326
138,3.3015125653520663
139,3.302138139267335
140,3.314076438571542
141,3.285246587763841
142,3.312770691907615
143,3.296198300221678
144,3.3267963276745163
145,3.3074494255109173
146,3.305877733728829
147,3.31930588264713
148,3.329886954218243
149,3.315996884836417
150,3.3080891801822645
