,step,action
0,0.0,0.0
1,0.0,24.73648452758789
2,1.0,24.73648452758789
3,1.0,14.325541496276855
4,2.0,14.325541496276855
5,2.0,-0.5477563738822937
6,3.0,-0.5477563738822937
7,3.0,-5.388381481170654
8,4.0,-5.388381481170654
9,4.0,-4.666754245758057
10,5.0,-4.666754245758057
11,5.0,-4.274673938751221
12,6.0,-4.274673938751221
13,6.0,-4.871490955352783
14,7.0,-4.871490955352783
15,7.0,-4.737788677215576
16,8.0,-4.737788677215576
17,8.0,-4.992794990539551
18,9.0,-4.992794990539551
19,9.0,-4.374914169311523
20,10.0,-4.374914169311523
21,10.0,0.0
