,step,action
0,0.0,0.0
1,0.0,4.929389476776123
2,1.0,4.929389476776123
3,1.0,4.7550764083862305
4,2.0,4.7550764083862305
5,2.0,5.111851692199707
6,3.0,5.111851692199707
7,3.0,4.629523277282715
8,4.0,4.629523277282715
9,4.0,4.794003009796143
10,5.0,4.794003009796143
11,5.0,4.55131196975708
12,6.0,4.55131196975708
13,6.0,4.538238525390625
14,7.0,4.538238525390625
15,7.0,4.6564226150512695
16,8.0,4.6564226150512695
17,8.0,4.543766975402832
18,9.0,4.543766975402832
19,9.0,4.5772786140441895
20,10.0,4.5772786140441895
21,10.0,0.0
