,step,action
0,0.0,0.0
1,0.0,4.82048225402832
2,1.0,4.82048225402832
3,1.0,4.171591758728027
4,2.0,4.171591758728027
5,2.0,3.977036952972412
6,3.0,3.977036952972412
7,3.0,4.309560775756836
8,4.0,4.309560775756836
9,4.0,4.217311859130859
10,5.0,4.217311859130859
11,5.0,4.334357738494873
12,6.0,4.334357738494873
13,6.0,4.574387550354004
14,7.0,4.574387550354004
15,7.0,4.1365156173706055
16,8.0,4.1365156173706055
17,8.0,4.593943119049072
18,9.0,4.593943119049072
19,9.0,4.484213829040527
20,10.0,4.484213829040527
21,10.0,0.0
