,step,action
0,0.0,0.0
1,0.0,16.574939727783203
2,1.0,16.574939727783203
3,1.0,15.259700775146484
4,2.0,15.259700775146484
5,2.0,12.453267097473145
6,3.0,12.453267097473145
7,3.0,3.6270201206207275
8,4.0,3.6270201206207275
9,4.0,-8.268927574157715
10,5.0,-8.268927574157715
11,5.0,-9.67361068725586
12,6.0,-9.67361068725586
13,6.0,-9.659696578979492
14,7.0,-9.659696578979492
15,7.0,-9.62692642211914
16,8.0,-9.62692642211914
17,8.0,-9.728861808776855
18,9.0,-9.728861808776855
19,9.0,-8.203123092651367
20,10.0,-8.203123092651367
21,10.0,0.0
