,step,action
0,0.0,0.0
1,0.0,28.322507858276367
2,1.0,28.322507858276367
3,1.0,-16.598093032836914
4,2.0,-16.598093032836914
5,2.0,28.07253074645996
6,3.0,28.07253074645996
7,3.0,-17.44746971130371
8,4.0,-17.44746971130371
9,4.0,16.042463302612305
10,5.0,16.042463302612305
11,5.0,-12.310226440429688
12,6.0,-12.310226440429688
13,6.0,11.310243606567383
14,7.0,11.310243606567383
15,7.0,-4.1659135818481445
16,8.0,-4.1659135818481445
17,8.0,14.92618465423584
18,9.0,14.92618465423584
19,9.0,-13.410975456237793
20,10.0,-13.410975456237793
21,10.0,0.0
