,step,action
0,0.0,0.0
1,0.0,10.552128791809082
2,1.0,10.552128791809082
3,1.0,13.16153335571289
4,2.0,13.16153335571289
5,2.0,8.23377513885498
6,3.0,8.23377513885498
7,3.0,4.097461223602295
8,4.0,4.097461223602295
9,4.0,0.2524733543395996
10,5.0,0.2524733543395996
11,5.0,-3.5535545349121094
12,6.0,-3.5535545349121094
13,6.0,-1.3255219459533691
14,7.0,-1.3255219459533691
15,7.0,-2.4352450370788574
16,8.0,-2.4352450370788574
17,8.0,-2.553199291229248
18,9.0,-2.553199291229248
19,9.0,-1.3319395780563354
20,10.0,-1.3319395780563354
21,10.0,0.0
