,step,action
0,0.0,0.0
1,0.0,28.192581176757812
2,1.0,28.192581176757812
3,1.0,-16.440265655517578
4,2.0,-16.440265655517578
5,2.0,26.953720092773438
6,3.0,26.953720092773438
7,3.0,-17.106225967407227
8,4.0,-17.106225967407227
9,4.0,19.879619598388672
10,5.0,19.879619598388672
11,5.0,-13.861303329467773
12,6.0,-13.861303329467773
13,6.0,21.63113021850586
14,7.0,21.63113021850586
15,7.0,-13.14000415802002
16,8.0,-13.14000415802002
17,8.0,20.640539169311523
18,9.0,20.640539169311523
19,9.0,-14.954195976257324
20,10.0,-14.954195976257324
21,10.0,0.0
