,step,action
0,0.0,0.0
1,0.0,11.099272727966309
2,1.0,11.099272727966309
3,1.0,11.025129318237305
4,2.0,11.025129318237305
5,2.0,7.958827018737793
6,3.0,7.958827018737793
7,3.0,4.737150192260742
8,4.0,4.737150192260742
9,4.0,1.4683880805969238
10,5.0,1.4683880805969238
11,5.0,-0.5262347459793091
12,6.0,-0.5262347459793091
13,6.0,-0.006886929273605347
14,7.0,-0.006886929273605347
15,7.0,-0.12308239936828613
16,8.0,-0.12308239936828613
17,8.0,-0.4711882770061493
18,9.0,-0.4711882770061493
19,9.0,-1.319006323814392
20,10.0,-1.319006323814392
21,10.0,0.0
